Acronym;Description
CWKHZW;Codeword for calculation of latest ign.angle out of catalyst warm-up
CWKLIMA;Code word air condition
CWKMMILSCT;Output: Km at MIL on for Scan Tool switch-off (0 = no output in PID $21)
CWKOMRH;Code word used by KOMRH
CWKONABG;Code word for configuration exhaust emission treatment
CWKONDTM;Code word for configuration of diagnosis of the engine coolant temperature senso
CWKONFGR;Code word for configuration cruise control interface
CWKONFLS;Description of the rear lambda sensor position
CWKONFMIL;Codeword for configuring MIL port control
CWKONFZ1;Code word for configuration vehicle
CWKONGTU;Code word for configuration of ambient temperature signal
CWKONLS;Code word for configuration lambda sensor
CWKOSCFG;Codeword for control of A/C compressor
CWKOSGANG;Selection of gear for compressor switch-off
CWKR;Code word knock control
CWKRAPP;Code word for calibration of kc
CWKRINT;Codeword knock control: calculation of knock detection charateristic
CWKRNLR;Code word for limp home in case of one knock sensors fails
CWKRREF;Code word: characteristic of rkr follow-up at speed dynamics
CWKRSHIFT;System constant knock control integration value
CWKRVKR;Codewort nkock control: choice integration value für amplification control
CWKSTEBF;Codeword first fueling
CWKTVFZG;Codeword for driver selection for vehicle speed signal
CWKUPPL;Code word for clutch
CWKVHR;Code word for component supply voltage via main relay
CWL9929;Codeword L9929 Powerstage
CWLAFGR;Code word FGR lamp triggering
CWLAMABM;Code word modelization of a/f-ratio values in exhaust gas system
CWLAMBTS;Code word: lambda component protection
CWLAMBTS2;Code word 2: lambda component protection
CWLAMFAW;Configuration of LAMFAW
CWLDIMX;Codeword for application proceedure KFLDIMX/KFLDIOPU
CWLDRPLS;Configuration (codeword) of LDRPLS
CWLDUVST;Code word: Overrun air valve control
CWLFD;Codewort : configuration of the fan control
CWLFDE;Codewort : configuration of the fan control
CWLFPWM;Codeword for the PWM frequency range
CWLLDE;Code word for speed undershoot
CWLLRNS;Codeword for idle increase.
CWLLRPA;Codeword: selection of idle speed control proportional part
CWLLRRM;Codeword for LLRM
CWLRA;Code word for mixture adaptation
CWLRFZA;Code word phase of forced lambda modulation
CWLRHKC;Code word of LRHKC
CWLRHKEB;Code word LRHKEB
CWLRMS;Code word enleanment protection
CWLRSMOD;Code word lambda control enabling for operating modes
CWLSFA;Codeword oxygen sensor behind precatalyst
CWLSHA;Code word for lambda sensors post catalyst / Aging in DLSAHK
CWLSUMRS;Codeword of function LSUMRS
CWLSUOFFS;Code word BGLSUOFFS
CWLSUOFHK;Codword for interface with trim control in BGLSUOFFS
CWM9CIDSUP;Code word support of VITs $03 und $04 (Calibr. ID output) in mode/service $09
CWM9CVNSUP;Code word support of VITs $05 and $06 (CVN output) in mode/service $09
CWM9IPTSUP;Code word support of VITs $07 und $08 (IPT output) in mode/service $09
CWM9VINSUP;Code word support of VITs $01 und $02 (VIN output) in mode/service $09
CWMAXDEV;Maximum allowed difference between 2 following F-terminal duty cycles
CWMDAPP;Code word for calibration without torque structure
CWMDAUTG;Code word for calculation of torque actual value for gear control
CWMDBGFZ;Code word torque limitation vehicle
CWMDFAW;Code word f. MDFAW
CWMDKOG;Code word MDKOG: ignition timing adjusted to retard for limiting vacuum
CWMDKOL;Codeword MDKOL: torque limitation
CWMDMIN;Codeword MDMIN
CWMDPED;Code word for pedal characteristic map selection by application value CWTPREQ
CWMDRED;Code word for nmaxred
CWMDRLKO;Codeword: torque loss ac-compressor dependent on rl, nmot
CWMDVERAD;Codeword MDVERAD
CWMDVERB;Configuration MDVERB
CWMDZUL;Codeword MDZUL for torque limitation
CWMIBR;Codeword to select torque limitation method
CWMINGEAR;Codewort for FKT BGMINGEAR
CWMODAP;Codeword for application interface of GDI mode
CWMOTAUS;Codeword for MOTAUS
CWMPED_UM;Codeword for the monitoring of the pedal map switching
CWMSVRECUR;Code Word For activation of reduced current control of MSV in different modes
CWNLDG;Codeword for behaviour of crankshaft limp home
CWNLKO;Codeword for application of limp-home operation mode
CWNLLKH;Codeword for idle-speed while catalyst-heating (Mod. BGNLLKH/KOMRKH)
CWNLPH;Release of the specific phase sensor limp home function
CWNMNFSE;Activation of fse-Interpolation below NMNFSE
CWNMXMD;Code word for limitation od engine speed
CWNSABG;Code word for adjusting nominal idle speed by diagnostic tester
CWNSTAT;Codeword for the Filtration of nstat
CWNSWLMOD;Codeword for afterstart and warm-up dependent on GDI mode
CWNWEGTR;Code word: resume speed at transmission-shift control
CWNWGE;Code word camshaft control at transmission control operation
CWNWRA;Code word to switch on filter for adjustment velocity of camshaft (outlet)
CWNWRE;Code word for activation of filter adjustment speed of intake camshaft
CWNWREF;Characteristics of the camshaft at engine start
CWNWREFADA;Codeword request camshaft reference adaptation without tetster demand
CWNWSA;Code word: camshaft control outlet
CWNWSE;Code word: camshaft control inlet
CWNWSG;Code word: camshaft control global
CWOBD;Code word for configuration OBD certification
CWODOM;Codeword: Odometer Computation
CWODORC1;Codeword Odometer Rolling Counter: Signal selection 1
CWODORC2;Codeword Odometer Rolling Counter: Signal selection 2
CWOILLIFE;Codeword oil life configuration
CWOILNS;Code word for configuration of (engine) oil level switch signal
CW_OPENL;Detection of open-load-error enabled
CWORING;Codeword for configuration BBORING
CWOSCME;Codeword für OSC measurement options in function BGLAMABM
CWPERF;Codeword for acceleration performance calculation
CWPG1;Codeword for properties of the camshaft signal from PG1
CWPG2;Codeword for properties of the camshaft signal from PG2
CWPG3;Codeword for properties of the camshaft signal from PG3
CWPG4;Codeword for properties of the camshaft signal from PG4
CWPGFLSEL;Codeword for Selection of Flanken in the WANWKW
CWPID2005;Parameter for PID-2005
CWPIRG;Code word for BGPIRG
CWPIRGAP;Codeword calibration BGPIRG
CWPLLSU;Codeword: plausibility check of LSU
CWPLTFA1HC;Codeword: configuration high-side-check TFA1
CWPLTFA1SC;Codeword: configuration stuck-check TFA1
CWPLTFA2;Codeword for configuration of DPLTFA2
CWPNSEL;Code word for selection of Hardware layout p/n switch (pulled up/down)
CWPOEL;Codeword for Oil preasure warning lamp
CWPRECAT;Pre-cat exhaust gas temperature model
CWPRSOLAP;Codeword to activate calibration interface of rail pressure setpoint
CWPSAAVE;Code word for canister ventilation valve (power stage)
CWPSBKVPE;Code word for shutdown of output-stage diagnosis
CWPSEVE;Codeword for power stage diagnosis fuel injectors
CWPSGENE;Codeword for power stage diagnosis alternator control
CWPSHSHE;Code word for power stage diagnosis O2-heating downstream cat.
CWPSKOSE;Codeword for power stage diagnosis A/C
CWPSKPE;Code word for output-stage diagnosis of fuel pump
CWPSLDE;Code word for shutdown of output-stage diagnosis wast gate
CWPSLUEA;Code word for shutdown of output-stage diagnosis fan a
CWPSLUEB;Code word for shutdown of output-stage diagnosis fan B
CWPSLUEC;Code word for shutdown of output-stage diagnosis fan C
CWPSMIL2E;Codeword for powerstage diagnosis MIL
CWPSMILE;Codeword for power stage MIL
CWPSMSVE;Codeword used to switch off of MSV power stage diagnosis
CWPSNWSAE;Codeword for switch off of power stage diagnosis NWS outlet
CWPSNWSEE;Codeword for switch off of power stage diagnosis NWS inlet
CWPSPCME;Codeword for power stage diagnosis of PCM
CWPSSTAE;Codeword for power stage diagnosis starter relay
CWPSTEVE;Code word for shutdown of output-stage diagnosis
CWPSTOP;Code word for power stage diagnosis:Transmission oil pump
CWPSUVSE;Code word for blow-off -valve power stage
CWPWF;Code word for powerfail
CW_RAMFLT;Code word for activating a RAM fault
CWRECZGD;Code word recording cycle flags and general denominator
CWREFI;Code word: reinitialize of rkr with REFINI at dynamics conditions
CWRGEARCAN;Source for reverse gear information
CWRLAPPL;Codeword rlsol_w from Test-bench for Applikation
CWRPSLSU;Codeword reference pump current control
CWRR;Codeword for evaluation of the inert gas rate
CWRTD;Codeword real time damping (RTD)
CWRTPE;Code word to activate the resetting of dew-point bit
CWRVS;Codeword Remote Vehicle Start
CWRVSAPPL;"Initialize max. number of Remaining Remote Starts - for test and calibration purp"
CWRVSENA;Configuration word start enable conditions for Remote Vehicle Start
CWRVSMON;Configuration word RVS monitor
CWRVSVFZG;Configuration word RVS monitor, vehicle speed
CWSALSU;Codeword SALSU
CWSAWE;Code word to enable fuel cut off - fuel restart, adjust for pops and bangs
CWSBBVK;Code word to include B_sbbvk for calculating startup conditions in LRSKA
CWSCTMDE;Code word f. switch-off of certain Scan Tool Modes/Services (Bit=0 -> mode off)
CWSELV;Configuration: summary of the power consumption
CWSERVECU;Codeword: calibration for service ECU
CWSPIMO;Codeword: failure reaction SPI monitoring
CWSTA;Code word for controlling start relay - automatic
CWSTADAP;Code word: start adaptation
CWSTADIS;Configuration word start disabling conditions (immediate abortion)
CWSTADISET;Configuration word start disabling conditions (abortion after extended crank tim
CWSTADISMN;Configuration word start disabling conditions (abortion after min. crank time)
CWSTAENA;Configuration word start enable conditions for ignition key start
CWSTAIMMO;Configuration word immobilizer
CWSTALOK;Code word for controlling start relay - automatic with local usage
CWSTAPPEI;Code word for controlling start relay - choise of PPEI request version
CWSTARVSEN;Configuration word start enable conditions for Remote Vehicle Start (carry-over
CWSTAVFZG;Configuration word vehicle speed
CWSTDMD;Code word for kind of enableing: 1-> B_st, 0 -> nmot
CWSTPCNF;Code word misfire disabeling criterion 1-> criterion active
CWSTPCNF2;"Code word misfire disabling criterion - 1-> criterion active"
CWSTPCNF3;Code word B_ll active in DMDSTP 28.90
CWSTPNOT;Codeword misfire surpression criterion 1-> criterion active
CWSTPUP;Codewort for the conditions Start and Start end (Pullup calculation)
CWSVS;Code word: Activation of the Service Vehicle Soon Lamp
CWT2DCACD;Code word for FKT T2DCACD
CWT2DCNWS;Code word for funktion T2DCNWS
CWTABKAP;Code word for function GGTABKAP
CWTABST;Code word to influence initialization of substitute value by switch off time
CWTCWCS;Codeword for DTCWCS
CWTF;Code word for configuration temperature sensors
CWTFA;Codeword: limitation of intake air temperature signal for sensors mounted in HFM
CWTFACS;Codeword for configuration of DTFACS
CWTFAKON;Codeword for selecting tfa1lin and tfa2lin.
CWTFUELM;Codeword tfuel for temperature model
CWTFUELSQ;Codeword tfuel temperature
CWTIPIN;Codeword for tip in function
CWTLDDD;Code word for enabling distance debounce in DTESK (byte)
CWTLDOBD;Code word for specification of the OBD-diagnosis
CWTMSV;Codeword MSV temperature
CWTPE;Code word to activate determination of end of dew point
CWTPREQ;Application value for manual pedal characteristic map selection
CWTUM;Configuration: ambient temperature for ac-compressor
CW_UFMSR;Code word disable monitoring of MSR plausibility-pot
CWUGD;Codeword for application to demand unthrottled angle of EGR and throttle val.
CWUHR;Code word for the clock
CWVARAC;Code word enable/disable A/C pressure calculation and diagnosis
CWVFN;Codeword for the variable step width of advancing of the ignition angle
CWVFZG;Code word vehicle speed
CWVSTMSV;Configuration feed forward control MSV
CWWDKSOM;Codeword WDKSOM (throttle angle without torque-structure)
CWWL;Code word for warm-up control
CW_ZBNK_UM;Codeword Cylnder allocation between Bank 1 (0) and Bank (1) in MOF
CWZGST;Code Word for Cylinder to Cylinder Torque Equalization
CWZUEAB;Codeword ignition off
CWZWOPT;Codeword for switchover of zwopt
CWZWVMX;Code word: ignition-timing intervention for VMAX limiting
DANTGESWNV;Threshold for activation of D component (speed) in the non-amplified range
DANTGESWV;Threshold for activation of D component (speed) in the amplified range
DANTSCHWNV;Threshold for activation of D component (deviation) in the non-amplified range
DANTSCHWV;Threshold for activation of D component (deviation) in the amplified range
DANZSYN;Number of synchros for dynamics delay
DASA;Number of fuel cut-out phases to detect ISC-actuator error
DATR;Diagnosis. Exhaust gas control
DATS;Diagnosis. Exhaust gas sensor
DBFGRMX_UM;Fault threshold: message counter in FGR message
DBFGR_T_UM;Fault debouncing: fault in message counter of FGR message
DBKVP;Diagnosis. booster pump
DBMSRMX_UC;Biggest permissible delta of the message counter for instruction test
DBMSRMX_UM;Biggest permissible delta of the message counter
DBSGSMX_UC;Biggest permissible delta of the message counter for instruction test
DBSGSMX_UM;Biggest permissible delta of the message counter
DBTMIN;Blockheater-detection: lower enabling temperature-threshold
DBTMTAMN;Blockheater-detection: minimum threshold for magnitude difference
DBTMTAMX;Blockheater-detection: maximum threshold for magnitude difference
DBUKSUE;Diagnosis. intake manifold amplifier
DCDACC;Diagnosis. access to tester data
DCFINI;Initial value oof duty cycle when generator is not excited
DCKOSNLDT;Device Control A/C clutch: max. time duration of no limit check
DCLA;OBD II Classification table
DCNSMX;Maximum desired engine idle speed device control
DCTEVPTVF;Device Control: maximum tank pressure TEV request
DCTMOUAN;ETC relearn by service tool: upper engine temperature threshold learn enable
DCTMUUAN;ETC relearn by service tool: lower engine temperature threshold learn enable
DCUANLATS;ETC relearn by service tool: upper inlet air temperature threshold learn enable
DCUANUATS;ETC relearn by service tool: lower inlet air temperature threshold learn enable
DCWNWSAMX;"Device control limit exceeded - outlet camshaft relative position value out of ra"
